id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
99097002 10.1866 0.0 0.00150000001303852 461.759887695312 743.102783203125 83.95937 -5.4764 0.002633915 259.0 8.6045 11109 V V 2458522.4218287 31 39 "[3] M42" 10890
159243971 11.3836 0.082220658659935 0.0173000004142523 718.107971191406 433.383209228516 83.959371 -5.476067 0.001452232 0.0 14.3757 24622 V V 2457033.60107639 84 131 "[3] M42" 21924
223100233 8.6140 0.0 0.00700000021606684 303.964508056641 550.96337890625 83.959371 -5.477151 0.002695322 275.0 7.6570 43181 R R 2459264.35280093 71 108 "[3] M42" 42444
354923168 9.9472 0.0252530444413424 0.00600000005215406 718.914184570312 908.667785644531 83.959371 -5.475968 0.00213488 0.0 13.1557 60051 V V 2459535.82175926 84 131 "[3] M42" 58490
146013967 10.8575 0.0332561917603016 0.0172000005841255 916.117980957031 741.622619628906 83.959372 -5.476626 0.008757609 2.0 13.2798 16285 B B 2457469.48028935 84 131 "[3] M42" 15682
146033982 11.7105 0.0335031114518642 0.0210999995470047 823.823120117188 614.265625 83.959372 -5.476158 0.002740202 0.0 14.4248 16314 B B 2457483.51138889 84 131 "[3] M42" 15711
301758406 10.3798 0.0 0.0233999993652105 1072.06311035156 832.203491210938 83.959372 -5.476394 0.003280233 256.0 14.2057 51320 V V 2459364.45244213 84 131 "[3] M42" 49843
148662778 10.1216 0.0182115752249956 0.00740000000223517 318.813110351562 802.269897460938 83.959373 -5.475911 0.001733926 0.0 13.0390 18519 V V 2458372.91699074 84 131 "[3] M42" 17318
99105531 9.1343 0.0 0.0031999999191612 1048.40234375 473.847412109375 83.959376 -5.476541 0.002107235 259.0 8.7065 11118 V V 2458509.32365741 31 39 "[3] M42" 10881
354919496 9.9260 0.0420297682285309 0.00620000017806888 718.823791503906 908.425415039062 83.959378 -5.475995 0.002543942 0.0 13.1419 60047 V V 2459535.82166667 84 131 "[3] M42" 58488
143845483 10.3907 0.0454857386648655 0.00549999997019768 893.494079589844 716.273315429688 83.959379 -5.476355 0.001206503 0.0 13.5235 15197 V V 2457462.48538194 84 131 "[3] M42" 14760
354918844 9.9623 0.0366789884865284 0.00680000009015203 721.497375488281 917.215576171875 83.959382 -5.475964 0.002598223 0.0 13.1995 60037 V V 2459536.82094907 84 131 "[3] M42" 58489
355045927 9.9434 0.0294197928160429 0.00439999997615814 721.804321289062 917.245422363281 83.959382 -5.476063 0.003259711 0.0 12.5739 60197 R R 2459536.82150463 84 131 "[3] M42" 58598
143853288 11.3886 0.047770980745554 0.0264999996870756 908.376586914062 749.082885742188 83.959384 -5.476576 0.002066736 0.0 14.7319 15216 V V 2457482.47202546 84 131 "[3] M42" 14801
158415676 11.0581 0.0600378699600697 0.0108000002801418 756.084777832031 663.894287109375 83.959385 -5.476622 0.002304529 0.0 13.5602 24196 B B 2457146.4674537 84 131 "[3] M42" 21669
154993665 10.7285 0.0236221719533205 0.00779999978840351 761.02587890625 449.817901611328 83.959386 -5.476906 0.002970295 35.0 13.2102 22085 V V 2456936.87484954 84 131 "[3] M42" 20309
355701445 10.2563 0.0308365989476442 0.0071000000461936 721.555114746094 917.095520019531 83.959386 -5.476147 0.002333818 2.0 12.8830 60413 B B 2459536.82069444 84 131 "[3] M42" 58653
99120195 9.4792 0.0 0.00179999996908009 457.852508544922 731.709106445312 83.959387 -5.476194 0.002984979 259.0 8.7466 11135 I I 2458524.43854167 31 39 "[3] M42" 10892
143851813 10.8083 0.0295588746666908 0.0108000002801418 918.59521484375 741.266784667969 83.959387 -5.476614 0.001702751 0.0 13.9562 15212 V V 2457469.48075231 84 131 "[3] M42" 14775
148662184 10.1125 0.0182389076799154 0.0071000000461936 318.475402832031 802.427612304688 83.959387 -5.475881 0.001490579 0.0 13.0370 18517 V V 2458372.91707176 84 131 "[3] M42" 17320
153677860 11.3888 0.028142811730504 0.0100999996066093 678.515930175781 702.1826171875 83.959388 -5.476515 0.001483007 0.0 14.0635 21618 B B 2456742.48619213 84 131 "[3] M42" 20096
146013330 10.9701 0.025323111563921 0.0152000002563 924.161010742188 740.080993652344 83.959389 -5.476594 0.00169435 3.0 13.3839 16283 B B 2457468.4808912 84 131 "[3] M42" 15680
301796545 11.1829 0.0654830634593964 0.0305000003427267 1028.033203125 770.735107421875 83.959389 -5.475886 0.003020483 0.0 14.2219 51412 B B 2459354.45009259 84 131 "[3] M42" 49941
158022981 11.6582 0.0378211475908756 0.0172000005841255 724.435119628906 340.086608886719 83.95939 -5.476418 0.0017852 0.0 14.6547 23946 B B 2457037.61425926 84 131 "[3] M42" 21544
159240393 11.0591 0.0326919071376324 0.0103000001981854 721.810485839844 455.440612792969 83.95939 -5.476657 0.001972562 0.0 13.7089 24610 V V 2457026.61357639 84 131 "[3] M42" 21916
158037416 11.1220 0.0476350300014019 0.0138999996706843 789.646728515625 695.044372558594 83.959392 -5.4765 0.002569769 2.0 13.3112 23966 B B 2457083.50798611 84 131 "[3] M42" 21581
157536869 12.1750 0.0649755820631981 0.017400000244379 804.869873046875 713.769714355469 83.959393 -5.476623 0.0008004988 0.0 14.9738 23552 I I 2457084.51099537 84 131 "[3] M42" 21183
158624876 11.2740 0.0373740047216415 0.0140000004321337 684.739624023438 681.879272460938 83.959393 -5.476406 0.00239345 2.0 13.9693 24364 B B 2457329.85609954 84 131 "[3] M42" 21807
179069323 11.3240 0.0141954943537712 0.0137999998405576 805.212280273438 553.432678222656 83.959395 -5.476167 0.001698685 0.0 14.1118 30023 B B 2458955.46488426 84 131 "[3] M42" 28918
