id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
220967380 13.7009 0.0444185696542263 0.00719999987632036 1978.62915039062 1580.85595703125 84.640334 -2.737716 0.001380124 0.0 15.2670 42165 B Blue 2459249.42143518 7 2 "[5] SigmaOri" 41042
226706203 12.0139 0.0161629877984524 0.000600000028498471 2009.42150878906 1605.70544433594 84.640325 -2.737715 0.001108688 2.0 12.1303 44638 R Red 2459280.31071036 7 2 "[5] SigmaOri" 43952
219212612 11.7679 0.0489375293254852 0.00130000000353903 2168.42431640625 2698.14990234375 84.640532 -2.737714 0.0009278026 0.0 13.6233 41519 I I-Band 2459224.38478588 7 2 "[5] SigmaOri" 40321
213038699 13.9688 0.033440500497818 0.0108000002801418 1943.10485839844 1591.72399902344 84.640348 -2.737712 0.001083479 0.0 16.2595 38205 B Blue 2459176.57370949 7 2 "[5] SigmaOri" 37072
213346061 11.9018 0.0248606223613024 0.00209999992512167 1973.65637207031 1585.78466796875 84.640366 -2.737711 0.001088189 0.0 13.5394 38244 R Red 2459177.58724041 7 2 "[5] SigmaOri" 37101
224368389 11.8654 0.0298532657325268 0.00209999992512167 1937.16845703125 1585.92236328125 84.640377 -2.737711 0.001005637 0.0 13.2142 44175 R Red 2459274.35686343 7 2 "[5] SigmaOri" 42888
216490024 12.5729 0.050376832485199 0.00570000009611249 2221.06469726562 2722.048828125 84.640483 -2.737709 0.001181349 0.0 14.4658 40068 R Red 2459199.49076678 7 2 "[5] SigmaOri" 38876
216498100 14.6157 0.0977877005934715 0.0414000004529953 2221.20043945312 2720.037109375 84.640543 -2.737709 0.002310693 0.0 17.1047 40070 B Blue 2459199.48642072 7 2 "[5] SigmaOri" 38879
219224590 14.2791 0.0356986671686172 0.0103000001981854 2169.59008789062 2696.4697265625 84.640518 -2.737709 0.0009735968 0.0 16.1077 41520 B Blue 2459224.38229051 7 2 "[5] SigmaOri" 40326
220962057 11.9976 0.0192561838775873 0.00109999999403954 1979.14086914062 1580.02368164062 84.640367 -2.737707 0.001305063 0.0 12.8025 42162 R Red 2459249.42645503 7 2 "[5] SigmaOri" 41039
212266943 12.1153 0.0208308026194572 0.000899999984540045 2156.67456054688 2715.85693359375 84.640461 -2.737705 0.001397465 2.0 12.3358 38016 R Red 2459172.51131366 7 2 "[5] SigmaOri" 36888
213050966 12.1585 0.0181210096925497 0.00130000000353903 1943.39929199219 1590.04321289062 84.64039 -2.737705 0.001044323 0.0 13.2337 38203 R Red 2459176.57372396 7 2 "[5] SigmaOri" 37069
220013373 12.4305 0.0122413644567132 0.0019000000320375 2006.77673339844 1587.82836914062 84.640366 -2.737705 0.0009931417 0.0 13.4770 41906 R Red 2459237.42418981 7 2 "[5] SigmaOri" 40678
3605294 11.9325 0.0186355914920568 0.000500000023748726 1956.74609375 1544.83471679688 84.640236 -2.737704 0.001386329 2.0 11.9211 242 V Visual 2457422.47956597 7 2 "[5] SigmaOri" 223
213509886 11.9330 0.0669655948877335 0.000899999984540045 2168.46606445312 2718.55053710938 84.64054 -2.737702 0.0008216466 0.0 12.7880 38278 R Red 2459178.54523872 7 2 "[5] SigmaOri" 37142
210973718 11.1814 0.083975575864315 0.00100000004749745 2218.65551757812 2723.23828125 84.640551 -2.737701 0.0009323266 0.0 13.4848 37721 I I-Band 2459164.55591724 7 2 "[5] SigmaOri" 36601
